player_id,player_name,season,age,team,position,games_played,minutes_per_game,points_per_game,assists_per_game,rebounds_per_game,steals_per_game,blocks_per_game,turnovers_per_game,fg_pct,fg3_pct,ft_pct,plus_minus,player_efficiency_rating,win_shares,box_plus_minus,vorp,salary_million_usd,mvp_award,all_star,all_nba,dpoy_award,is_legend
P00001,Magic Johnson,1980,22,LAL,PG,67,28.3,18.4,6.4,3.2,1.1,0.2,1.6,0.463,0.303,0.807,5.4,16.4,6.4,1.13,2.32,0.5,0,0,0,0,1
P00001,Magic Johnson,1981,23,LAL,PG,65,26.6,14.0,6.7,3.3,1.2,0.3,1.8,0.543,0.377,0.798,4.0,22.0,5.4,-0.61,-1.0,0.5,0,0,0,0,1
P00001,Magic Johnson,1982,24,LAL,PG,82,30.9,22.6,7.9,4.0,1.4,0.3,1.9,0.469,0.308,0.744,3.8,21.3,9.6,-0.21,-0.34,0.74,0,0,0,0,1
P00001,Magic Johnson,1983,25,LAL,PG,82,34.7,17.0,7.2,3.6,1.3,0.3,2.0,0.47,0.366,0.793,4.2,18.6,11.4,0.85,2.12,3.38,0,0,0,0,1
P00001,Magic Johnson,1984,26,LAL,PG,82,34.3,21.6,7.6,3.8,1.3,0.3,2.4,0.443,0.371,0.81,3.1,18.6,9.8,2.23,5.9,4.73,0,1,1,0,1
P00001,Magic Johnson,1985,27,LAL,PG,67,28.5,20.2,7.8,3.9,1.4,0.3,1.9,0.478,0.32,0.75,3.0,23.5,6.2,-0.92,-1.0,3.53,0,1,1,0,1
P00001,Magic Johnson,1986,28,LAL,PG,75,34.2,19.4,7.1,3.6,1.2,0.3,1.6,0.453,0.328,0.729,0.7,24.5,8.5,1.91,4.45,4.78,0,1,0,0,1
P00001,Magic Johnson,1987,29,LAL,PG,82,30.5,18.7,7.9,4.0,1.4,0.3,2.2,0.458,0.341,0.685,-0.0,20.4,9.0,0.51,1.48,1.82,0,1,0,0,1
P00001,Magic Johnson,1988,30,LAL,PG,82,34.8,21.4,8.9,4.5,1.6,0.3,2.7,0.466,0.394,0.727,-4.0,22.0,10.6,0.39,1.05,4.73,0,0,0,0,1
P00001,Magic Johnson,1989,31,LAL,PG,76,29.2,18.6,7.8,3.9,1.4,0.3,1.9,0.543,0.34,0.781,2.8,19.8,9.9,1.41,3.39,4.91,0,0,0,0,1
P00001,Magic Johnson,1990,32,LAL,PG,82,29.2,19.1,8.1,4.1,1.4,0.3,2.3,0.476,0.26,0.851,-0.4,22.3,7.7,0.89,2.66,1.66,0,0,0,0,1
P00001,Magic Johnson,1991,33,LAL,PG,82,25.6,20.1,8.3,4.2,1.5,0.3,2.2,0.494,0.316,0.724,6.3,17.8,10.5,3.8,9.93,6.39,0,0,0,0,1
P00001,Magic Johnson,1992,34,LAL,PG,80,31.8,16.5,7.5,3.8,1.3,0.3,2.0,0.447,0.41,0.763,9.0,21.5,9.7,2.73,6.55,4.35,0,0,0,0,1
