date,year,month,quarter,symbol,name,category,consensus_mechanism,open_usd,high_usd,low_usd,close_usd,monthly_return_pct,monthly_volatility_pct,volume_usd_billion,market_cap_usd_billion,dominance_pct,active_addresses_thousands,transaction_count_thousands,social_sentiment_score,fear_greed_index,exchange_netflow_million_usd
2018-01,2018,1,Q1,BTC,Bitcoin,Store of Value,PoW,26419.4630589,30512.65391737,25138.13296124,26584.63451223,0.63,15.0,6.319,523.717,56.5,906,4475,-0.722,46,-3.8
2018-02,2018,2,Q1,BTC,Bitcoin,Store of Value,PoW,26584.63451223,26358.37559092,21736.92138586,23790.77689609,-10.51,15.6,7.321,468.678,40.0,584,6410,-0.389,27,7.8
2018-03,2018,3,Q1,BTC,Bitcoin,Store of Value,PoW,23790.77689609,34551.76059328,31167.91102824,33381.20917442,40.31,10.5,8.064,657.61,54.4,643,1187,0.236,39,-18.9
2018-04,2018,4,Q2,BTC,Bitcoin,Store of Value,PoW,33381.20917442,30062.02821081,25207.27838018,28025.0686884,-16.05,16.3,4.927,552.094,39.9,654,4631,-0.482,44,-11.4
2018-05,2018,5,Q2,BTC,Bitcoin,Store of Value,PoW,28025.0686884,31178.27679967,26122.67778541,28845.18384022,2.93,22.5,3.748,568.25,53.8,479,7943,-0.25,53,-12.0
2018-06,2018,6,Q2,BTC,Bitcoin,Store of Value,PoW,28845.18384022,30643.58488426,25326.11277868,27138.51503374,-5.92,18.2,5.614,534.629,43.2,446,10922,-0.925,38,-22.9
2018-07,2018,7,Q3,BTC,Bitcoin,Store of Value,PoW,27138.51503374,26545.59377748,23004.45732139,24140.1695561,-11.05,12.5,5.769,475.561,56.1,376,13207,-0.448,40,1.9
2018-08,2018,8,Q3,BTC,Bitcoin,Store of Value,PoW,24140.1695561,22565.48304613,19444.93699953,21486.1721967,-10.99,10.9,5.7,423.278,55.3,534,8822,-0.511,45,2.3
2018-09,2018,9,Q3,BTC,Bitcoin,Store of Value,PoW,21486.1721967,22335.76335166,15381.81752748,19902.88974581,-7.37,23.8,1.727,392.087,53.8,306,21413,0.019,28,20.9
2018-10,2018,10,Q4,BTC,Bitcoin,Store of Value,PoW,19902.88974581,28255.36169306,21318.80193112,25275.6321669,26.99,19.7,2.392,497.93,60.2,399,17120,-0.027,28,1.1
2018-11,2018,11,Q4,BTC,Bitcoin,Store of Value,PoW,25275.6321669,29458.86694719,21744.84127748,24413.34176362,-3.41,23.1,3.183,480.943,61.4,117,7621,-0.772,42,5.2
2018-12,2018,12,Q4,BTC,Bitcoin,Store of Value,PoW,24413.34176362,22952.53810008,18683.42173707,20371.98212084,-16.55,16.4,2.812,401.328,54.7,274,3969,-0.603,38,-2.4
2019-01,2019,1,Q1,BTC,Bitcoin,Store of Value,PoW,20371.98212084,25046.49821801,18630.48830195,21594.15186775,6.0,18.2,8.268,425.405,43.2,691,15493,-0.071,39,15.7
2019-02,2019,2,Q1,BTC,Bitcoin,Store of Value,PoW,21594.15186775,31862.68117736,29400.43040507,30573.70787961,41.58,9.9,6.37,602.302,55.5,473,14485,-0.418,17,5.9
2019-03,2019,3,Q1,BTC,Bitcoin,Store of Value,PoW,30573.70787961,32456.21476565,25792.86483511,29474.08006623,-3.6,24.6,4.58,580.639,45.6,387,8792,-0.33,35,5.0
2019-04,2019,4,Q2,BTC,Bitcoin,Store of Value,PoW,29474.08006623,26308.42818927,23017.61445352,24324.65447225,-17.47,8.4,8.364,479.196,40.0,339,11692,-0.427,42,11.4
2019-05,2019,5,Q2,BTC,Bitcoin,Store of Value,PoW,24324.65447225,33768.5065862,29412.55068903,31342.82074757,28.85,17.0,2.042,617.454,49.0,187,6987,-0.352,43,-2.7
2019-06,2019,6,Q2,BTC,Bitcoin,Store of Value,PoW,31342.82074757,37799.53699293,31855.94865339,34653.57954973,10.56,19.4,12.36,682.676,51.6,285,26999,-0.102,33,28.2
2019-07,2019,7,Q3,BTC,Bitcoin,Store of Value,PoW,34653.57954973,35172.04055491,31607.75390878,33413.01678332,-3.58,8.2,10.677,658.236,44.4,1551,10181,0.193,24,13.5
2019-08,2019,8,Q3,BTC,Bitcoin,Store of Value,PoW,33413.01678332,34375.93470298,25268.80661134,31976.00812087,-4.3,21.4,4.409,629.927,54.3,323,12637,-0.045,35,-25.4
2019-09,2019,9,Q3,BTC,Bitcoin,Store of Value,PoW,31976.00812087,45142.33088124,35755.70187702,39992.3006931,25.07,14.7,5.997,787.848,40.0,902,9915,-0.784,32,-33.7
2019-10,2019,10,Q4,BTC,Bitcoin,Store of Value,PoW,39992.3006931,45384.91029176,35512.93900971,40871.01161206,2.2,18.8,7.701,805.159,43.7,218,6918,0.076,49,-21.1
2019-11,2019,11,Q4,BTC,Bitcoin,Store of Value,PoW,40871.01161206,40588.72667563,32174.89768279,37264.50229796,-8.82,24.3,12.707,734.111,39.4,173,8096,-0.492,47,4.1
2019-12,2019,12,Q4,BTC,Bitcoin,Store of Value,PoW,37264.50229796,42280.02472649,31094.20201004,37713.30240452,1.2,23.7,15.496,742.952,58.3,901,10640,0.092,53,16.7
2020-01,2020,1,Q1,BTC,Bitcoin,Store of Value,PoW,37713.30240452,38145.17300685,30006.50640261,33004.70048308,-12.49,22.4,5.034,650.193,42.7,595,3705,-0.038,54,-21.7
2020-02,2020,2,Q1,BTC,Bitcoin,Store of Value,PoW,33004.70048308,48331.27362305,43550.99346242,45797.4972103,38.76,14.5,6.857,902.211,55.8,1736,20492,0.226,63,-10.6
2020-03,2020,3,Q1,BTC,Bitcoin,Store of Value,PoW,45797.4972103,60107.6013272,44826.7822102,51111.12097374,11.6,19.1,17.481,1006.889,59.4,1022,2276,0.303,39,-8.0
2020-04,2020,4,Q2,BTC,Bitcoin,Store of Value,PoW,51111.12097374,59099.54431417,53099.90139293,56421.33459341,10.39,14.0,3.653,1111.5,50.2,194,3459,0.785,47,35.8
2020-05,2020,5,Q2,BTC,Bitcoin,Store of Value,PoW,56421.33459341,64862.39048856,57667.01486226,60080.96673366,6.49,12.9,6.427,1183.595,46.8,105,6661,-0.261,60,-6.6
2020-06,2020,6,Q2,BTC,Bitcoin,Store of Value,PoW,60080.96673366,69944.92596528,56444.42961443,64757.7965945,7.78,18.0,17.579,1275.729,48.4,340,5798,-0.321,55,30.8
